page,publisher,name,url,nimType,usecase,general,description,dateCreated,lastMonthApiInvocations
1,moonshotai,kimi-k2.6,https://build.nvidia.com/moonshotai/kimi-k2.6,Download Available; Partner Endpoint,Image-to-Text,Multimodal; Reasoning; Mixture-of-Experts,"1T multimodal MoE for long-horizon coding, agentic tool use, and image/video understanding.",2026-05-01,1503092
1,qwen,qwen-image,https://build.nvidia.com/qwen/qwen-image,Partner Endpoint; Download Available,Text-to-Image; Image Generation,,Qwen-Image is a text-to-image foundation model with advanced multilingual text rendering.,2026-05-01,0
1,qwen,qwen-image-edit,https://build.nvidia.com/qwen/qwen-image-edit,Partner Endpoint; Download Available,Text-to-Image; Image Generation,,Qwen-Image-Edit is an image editing model with multilingual text editing and strong subject consistency.,2026-05-01,0
1,mistralai,mistral-medium-3.5-128b,https://build.nvidia.com/mistralai/mistral-medium-3.5-128b,Download Available,,coding; reasoning; text; agentic,"A high performing model for text generation, coding and agentic use cases",2026-04-29,964635
1,nvidia,nemotron-3-nano-omni-30b-a3b-reasoning,https://build.nvidia.com/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,Download Available; Partner Endpoint,Image-to-Text,VLM; Video; Omni; OCR,"Nemotron 3 Nano Omni is an omni-modal reasoning model that understands images, video, speech, text.",2026-04-28,4247691
1,deepseek-ai,deepseek-v4-flash,https://build.nvidia.com/deepseek-ai/deepseek-v4-flash,Partner Endpoint; Download Available,,coding; MoE; fast; agentic,DeepSeek V4 Flash is a 284B MoE model with 1M-token context optimized for fast coding and agents.,2026-04-24,5553224
1,deepseek-ai,deepseek-v4-pro,https://build.nvidia.com/deepseek-ai/deepseek-v4-pro,Download Available; Partner Endpoint,,Moe; reasoning; coding; agentic,DeepSeek V4 scales to 1M-token context windows with efficient MoE architecture for coding tasks.,2026-04-24,4429023
1,z-ai,glm-5.1,https://build.nvidia.com/z-ai/glm-5.1,Partner Endpoint; Download Available,,Agentic AI; Coding; Reasoning; Tool Use,"GLM-5.1 is a flagship LLM for agentic workflows, coding, and long-horizon reasoning tasks.",2026-04-18,12951482
1,z-ai,glm-4.7,https://build.nvidia.com/z-ai/glm-4.7,Partner Endpoint; Free Endpoint,,Tool Calling; Coding; Reasoning; Multilingual,"GLM-4.7 is a multilingual agentic coding partner with stronger reasoning, tool use, and UI skills.",2026-04-17,11169782
1,nvidia,NVIDIA AI for Media Relighting,https://build.nvidia.com/nvidia/relighting,Download Available,,HDRI; remote contribution; lighting; nvidia ai for media,Re-illuminate people in video to match target lighting from a 360 HDRI environment map.,2026-04-17,517
1,nvidia,nemotron-3-content-safety,https://build.nvidia.com/nvidia/nemotron-3-content-safety,Free Endpoint,,llm safety; safety and moderation; multilingual content safety; ai safety nemo guardrails,"Multilingual, multimodal model for detecting unsafe and toxic content.",2026-04-16,59326
1,nvidia,synthetic-video-detector,https://build.nvidia.com/nvidia/synthetic-video-detector,Download Available; Free Endpoint,,broadcast; media2; forensics; nvidia ai for media; diffusion models,NVIDIA Synthetic Video Detector is an AI-powered micro-service for detecting AI‑generated (synthetic) videos.,2026-04-16,57503
1,nvidia,Active Speaker Detection,https://build.nvidia.com/nvidia/active-speaker-detection,Download Available; Free Endpoint,,localization; speaker detection; dubbing; nvidia ai for media; broadcast-logging,Detect and track speaker identities across video frames.,2026-04-16,1213
1,nvidia,LipSync,https://build.nvidia.com/nvidia/lipsync,Download Available,,lipsync; localization; news; sports; dubbing; translation,Generative lip dubbing that syncs lips in a video to input audio.,2026-04-16,0
1,nvidia,ising-calibration-1-35b-a3b,https://build.nvidia.com/nvidia/ising-calibration-1-35b-a3b,Download Available,,Quantum; reasoning; Vision Language Model; calibration,Open VLM for quantum computer calibration chart understanding across a range of qubit modalities.,2026-04-14,218596
1,minimaxai,minimax-m2.7,https://build.nvidia.com/minimaxai/minimax-m2.7,Partner Endpoint; Free Endpoint,,coding; text-to-text; reasoning,"MiniMax M2.7 is a 230B-parameter text-to-text AI model excelling in coding, reasoning, and office tasks.",2026-04-12,9837894
1,google,gemma-4-31b-it,https://build.nvidia.com/google/gemma-4-31b-it,Download Available; Partner Endpoint,,coding; text-to-text; reasoning; agentic,"Dense 31B model delivering frontier reasoning for coding, agentic workflows, and fine-tuning.",2026-04-02,5466074
1,nvidia,llama-nemotron-rerank-vl-1b-v2,https://build.nvidia.com/nvidia/llama-nemotron-rerank-vl-1b-v2,Partner Endpoint; Download Available,Retrieval Augmented Generation,nemo retriever; reranking,GPU-accelerated model optimized for providing a probability score that a given passage contains the information to answer a question.,2026-03-31,70574
1,mistralai,mistral-small-4-119b-2603,https://build.nvidia.com/mistralai/mistral-small-4-119b-2603,Partner Endpoint; Download Available,,code generation; reasoning; image-to-text,"Hybrid MoE model unifying instruct, reasoning, and coding with multimodal input and 256k context",2026-03-16,12187822
1,nvidia,nemotron-voicechat,https://build.nvidia.com/nvidia/nemotron-voicechat,Free Endpoint,,English; voice chat; NVIDIA NIM,Nemotron 3 Voicechat,2026-03-16,2507
1,nvidia,nemotron-asr-streaming,https://build.nvidia.com/nvidia/nemotron-asr-streaming,Download Available,,Automatic Speech Recognition; NVIDIA NIM; NVIDIA Riva,Real-time speech recognition for English,2026-03-14,17152
1,black-forest-labs,flux.2-klein-4b,https://build.nvidia.com/black-forest-labs/flux_2-klein-4b,Partner Endpoint; Download Available,Text-to-Image; Image Generation,Run-on-RTX,"FLUX.2-klein-4B is a distilled image generation and editing model, producing outputs at lighting speed",2026-03-13,217154
1,nvidia,nemotron-ocr-v1,https://build.nvidia.com/nvidia/nemotron-ocr-v1,Download Available,Optical Character Recognition,Table Extraction; nemo retriever; data ingestion; extraction,"Powerful OCR model for fast, accurate real-world image text extraction, layout, and structure analysis.",2026-03-12,925145
1,nvidia,nemotron-3-super-120b-a12b,https://build.nvidia.com/nvidia/nemotron-3-super-120b-a12b,Download Available; Partner Endpoint,,MoE; Reasoning; Chat; Long Context; Instruction Following,"Open, efficient hybrid Mamba-Transformer MoE with 1M context, excelling in agentic reasoning, coding, planning, tool calling, and more",2026-03-11,47496589
2,nvidia,llama-nemotron-rerank-1b-v2,https://build.nvidia.com/nvidia/llama-nemotron-rerank-1b-v2,Download Available,Retrieval Augmented Generation,nemo retriever; reranking,GPU-accelerated model optimized for providing a probability score that a given passage contains the information to answer a question.,2026-03-06,176972
2,qwen,qwen3.5-122b-a10b,https://build.nvidia.com/qwen/qwen3.5-122b-a10b,Partner Endpoint; Download Available,,tool calling; text-to-text; reasoning; image-to-text,"122B MoE LLM (10B active) for coding, reasoning, multimodal chat. Agent-ready.",2026-03-05,10099157
2,nvidia,nemotron-table-structure-v1,https://build.nvidia.com/nvidia/nemotron-table-structure-v1,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents.",2026-03-04,18696
2,nvidia,nemotron-page-elements-v3,https://build.nvidia.com/nvidia/nemotron-page-elements-v3,Download Available,Object Detection,Object Detection; Chart Detection; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents.",2026-03-04,65202
2,nvidia,nemotron-graphic-elements-v1,https://build.nvidia.com/nvidia/nemotron-graphic-elements-v1,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents.",2026-03-04,21501
2,nvidia,llama-nemotron-embed-1b-v2,https://build.nvidia.com/nvidia/llama-nemotron-embed-1b-v2,Download Available,Text-to-Embedding; Retrieval Augmented Generation,NeMo Retriever,"Multilingual, cross-lingual embedding model for long-document QA retrieval, supporting 26 languages.",2026-03-04,37088875
2,nvidia,gliner-pii,https://build.nvidia.com/nvidia/gliner-pii,Free Endpoint,,PII Detection; NVIDIA NIM,GLiNER PII detects Personally Identifiable Information in text.,2026-03-03,179736
2,minimaxai,minimax-m2.5,https://build.nvidia.com/minimaxai/minimax-m2.5,Download Available; Partner Endpoint,,reasoning; coding; text-to-text,"MiniMax M2.5 is a 230B-parameter text-to-text AI model excelling in coding, reasoning, and office tasks.",2026-02-27,6948291
2,nvidia,cosmos-transfer2.5-2b,https://build.nvidia.com/nvidia/cosmos-transfer2_5-2b,Free Endpoint,Synthetic Data Generation,Autonomous Vehicles; Physical AI; robotics; video-to-world,Generates physics-aware video world states for physical AI development using text prompts and multiple spatial control inputs derived from real-world data or simulation.,2026-02-26,0
2,qwen,qwen3.5-397b-a17b,https://build.nvidia.com/qwen/qwen3.5-397b-a17b,Download Available; Partner Endpoint,,MoE; VLM; image-to-image; agentic,"Next-gen Qwen 3.5 VLM (400B MoE) brings advanced vision, chat, RAG, and agentic capabilities.",2026-02-16,9186234
2,nvidia,llama-nemotron-embed-vl-1b-v2,https://build.nvidia.com/nvidia/llama-nemotron-embed-vl-1b-v2,Partner Endpoint; Download Available,Text-to-Embedding; Retrieval Augmented Generation,nemo retriever; embedding,Multimodal question-answer retrieval representing user queries as text and documents as images.,2026-02-10,6117217
2,stepfun-ai,step-3.5-flash,https://build.nvidia.com/stepfun-ai/step-3.5-flash,Partner Endpoint; Free Endpoint,,Agentic; Coding; Reasoning,200B open-source reasoning engine with sparse MoE powering frontier agentic AI.,2026-02-02,9913705
2,nvidia,nemotron-content-safety-reasoning-4b,https://build.nvidia.com/nvidia/nemotron-content-safety-reasoning-4b,Free Endpoint,,NeMo Guardrails; Nemotron; reasoning; Safety and Moderation,A context‑aware safety model that applies reasoning to enforce domain‑specific policies.,2026-01-22,160278
2,nvidia,cosmos-reason2-8b,https://build.nvidia.com/nvidia/cosmos-reason2-8b,Download Available,Synthetic Data Generation,video understanding; autonomous vehicles; industrial; Physical AI; vision language model; reasoning,Vision language model that excels in understanding the physical world using structured reasoning on videos or images.,2025-12-27,457445
2,nvidia,nemoretriever-page-elements-v3,https://build.nvidia.com/nvidia/nemoretriever-page-elements-v3,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents.",2025-12-19,7224
2,nvidia,nemotron-3-nano-30b-a3b,https://build.nvidia.com/nvidia/nemotron-3-nano-30b-a3b,Partner Endpoint; Download Available,,MoE; Reasoning; Long Context; Instruction Following,"Open, efficient MoE model with 1M context, excelling in coding, reasoning, instruction following, tool calling, and more",2025-12-15,10289552
2,nvidia,riva-translate-4b-instruct-v1_1,https://build.nvidia.com/nvidia/riva-translate-4b-instruct-v1_1,Free Endpoint,Text Translation,nvidia nim; neural machine translation,Translation model in 12 languages with few-shots example prompts capability.,2025-12-12,309766
2,mistralai,devstral-2-123b-instruct-2512,https://build.nvidia.com/mistralai/devstral-2-123b-instruct-2512,Partner Endpoint; Free Endpoint,,coding; reasoning; text-to-code; agentic,"State-of-the-art open code model with deep reasoning, 256k context, and unmatched efficiency.",2025-12-09,2673865
2,moonshotai,kimi-k2-thinking,https://build.nvidia.com/moonshotai/kimi-k2-thinking,Partner Endpoint; Free Endpoint,,Conversational; Reasoning; Long Context; Function Calling,"Open reasoning model with 256K context window, native INT4 quantization and enhanced tool use.",2025-12-09,2370644
2,mistralai,mistral-large-3-675b-instruct-2512,https://build.nvidia.com/mistralai/mistral-large-3-675b-instruct-2512,Partner Endpoint; Free Endpoint,Image-to-Text,language generation; multimodal; agentic,"A state-of-the-art general purpose MoE VLM ideal for chat, agentic and instruction based use cases.",2025-12-02,4091952
2,mistralai,ministral-14b-instruct-2512,https://build.nvidia.com/mistralai/ministral-14b-instruct-2512,Download Available,Image-to-Text,language generation; SLM; multimodal,A general purpose VLM ideal for chat and instruction based use cases,2025-12-02,2318094
2,nvidia,streampetr,https://build.nvidia.com/nvidia/streampetr,Free Endpoint,,autonomous vehicles; bev; AV Stack; automotive,StreamPETR offers efficient 3D object detection for autonomous driving by propagating sparse object queries temporally.,2025-11-13,4298
2,nvidia,nemotron-parse,https://build.nvidia.com/nvidia/nemotron-parse,Download Available,,text and table extraction; document parsing; supported language - english,Cutting-edge vision-language model exceling in retrieving text and metadata from images.,2025-10-28,296207
2,nvidia,nemotron-nano-12b-v2-vl,https://build.nvidia.com/nvidia/nemotron-nano-12b-v2-vl,Download Available,Image-to-Text,language generation; vision assistant; visual question answering,"Nemotron Nano 12B v2 VL enables multi-image and video understanding, along with visual Q&A and summarization capabilities.",2025-10-28,2050597
3,nvidia,llama-3.1-nemotron-safety-guard-8b-v3,https://build.nvidia.com/nvidia/llama-3_1-nemotron-safety-guard-8b-v3,Free Endpoint,,content moderation; llm safety; multilingual guard model; multilingual content safety; nemoguard,Leading multilingual content safety model for enhancing the safety and moderation capabilities of LLMs,2025-10-28,109609
3,openfold,openfold3,https://build.nvidia.com/openfold/openfold3,Download Available,Drug Discovery,Biology; Protein Folding,"OpenFold3 is a third-generation biomolecular foundation model that predicts the three-dimensional structures of molecular complexes (proteins, DNA, RNA, ligands)",2025-10-24,71450
3,nvidia,parakeet-ctc-0.6b-zh-tw,https://build.nvidia.com/nvidia/parakeet-ctc-0_6b-zh-tw,Download Available,Speech-to-Text,ASR; Streaming; Taiwanese; NVIDIA NIM,Record-setting accuracy and performance for Mandarin Taiwanese English transcriptions.,2025-10-16,452
3,nvidia,llama-3_2-nemoretriever-300m-embed-v2,https://build.nvidia.com/nvidia/llama-3_2-nemoretriever-300m-embed-v2,Download Available,Text-to-Embedding; Retrieval Augmented Generation,NeMo Retriever,"Multilingual, cross-lingual embedding model for long-document QA retrieval, supporting 26 languages.",2025-10-02,98
3,stockmark,stockmark-2-100b-instruct,https://build.nvidia.com/stockmark/stockmark-2-100b-instruct,Download Available,,sovereign ai; japanese; stockmark; large language model,Japanese-specialized large-language-model for enterprises to read and understand complex business documents.,2025-09-24,1245132
3,qwen,qwen3-next-80b-a3b-instruct,https://build.nvidia.com/qwen/qwen3-next-80b-a3b-instruct,Partner Endpoint; Download Available,,text-generation; agentic,"Qwen3-Next Instruct blends hybrid attention, sparse MoE, and stability boosts for ultra-long context AI.",2025-09-22,18715519
3,qwen,qwen3-next-80b-a3b-thinking,https://build.nvidia.com/qwen/qwen3-next-80b-a3b-thinking,Partner Endpoint; Download Available,,Reasoning; Text-to-Text,"80B parameter AI model with hybrid reasoning, MoE architecture, support for 119 languages.",2025-09-11,1970962
