分類排序,原始排序,主分類,子分類,publisher,name,url,具體用途（中文）,API/服務型態,典型輸入,典型輸出,落地操作步驟,建議串接位置,POC檢核,nimType,原始 Use Case,general,description
1,128,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,abacusai,dracarys-llama-3.1-70b-instruct,https://build.nvidia.com/abacusai/dracarys-llama-3_1-70b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,(未標示),Code Generation; Text-to-Text,"Fine-tuned Llama 3.1 70B model for code generation, summarization, and multi-language tasks."
2,6,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,deepseek-ai,deepseek-v4-flash,https://build.nvidia.com/deepseek-ai/deepseek-v4-flash,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),coding; MoE; fast; agentic,DeepSeek V4 Flash is a 284B MoE model with 1M-token context optimized for fast coding and agents.
3,7,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,deepseek-ai,deepseek-v4-pro,https://build.nvidia.com/deepseek-ai/deepseek-v4-pro,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,(未標示),Moe; reasoning; coding; agentic,DeepSeek V4 scales to 1M-token context windows with efficient MoE architecture for coding tasks.
4,137,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,google,gemma-2-2b-it,https://build.nvidia.com/google/gemma-2-2b-it,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,Code Generation,Chat; Text-to-Text; Language Generation,Advanced small language generative AI model for edge applications
5,17,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,google,gemma-4-31b-it,https://build.nvidia.com/google/gemma-4-31b-it,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,(未標示),coding; text-to-text; reasoning; agentic,"Dense 31B model delivering frontier reasoning for coding, agentic workflows, and fine-tuning."
6,140,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,meta,llama-3.1-70b-instruct,https://build.nvidia.com/meta/llama-3_1-70b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Code Generation,Chat; Text-to-Text; Language Generation,"Powers complex conversations with superior contextual understanding, reasoning and text generation."
7,141,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,meta,llama-3.1-8b-instruct,https://build.nvidia.com/meta/llama-3_1-8b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,Code Generation,Chat; Text-to-Text; Language Generation; Run-on-RTX,"Advanced state-of-the-art model with language understanding, superior reasoning, and text generation."
8,127,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,meta,llama-3.2-1b-instruct,https://build.nvidia.com/meta/llama-3.2-1b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Code Generation,chat; Text-to-Text; Language Generation,"Advanced state-of-the-art small language model with language understanding, superior reasoning, and text generation."
9,124,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,meta,llama-3.2-3b-instruct,https://build.nvidia.com/meta/llama-3.2-3b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Code Generation,Chat; Text-to-Text; Language Generation,"Advanced state-of-the-art small language model with language understanding, superior reasoning, and text generation."
10,118,LLM / Agent / 程式碼,Coding Agent / 程式碼生成,meta,llama-3.3-70b-instruct,https://build.nvidia.com/meta/llama-3_3-70b-instruct,生成、修改、解釋與除錯程式碼，支援長上下文 coding agent、瀏覽器操作與軟體工程自動化。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 coding 任務模板（修 bug、產生測試、解釋程式碼）。2. 把 repo 摘要/相關檔案/錯誤日誌放入 prompt。3. 呼叫模型產生 patch 或建議。4. 用 CI/單元測試驗證。5. 人審後合併。,IDE 助手、CI bot、PR review bot、內部開發平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,Code Generation,Instruction following; Math; Reasoning; Text-to-Text,"Advanced LLM for reasoning, math, general knowledge, and function calling"
